,Subblock,Scene,Tile,T,Z,C,X[micron],Y[micron],Z[micron],Time[s],xstart,ystart,width,height
0,0,0,0,0,0,0,7671.749,9837.847,1680.367,0.0,0,0,1765,1493
1,1,0,0,0,0,1,7671.749,9837.847,1680.367,0.6588499546051025,0,0,1765,1493
